#options: 480x852 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:34 out:34 type:B dur:2 cpbdur:2 q:25.27 aq:16.18 tex:153 mv:300 misc:355 imb:0 pmb:30 smb:1590 d:s ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:26.14 aq:13.78 tex:39 mv:87 misc:234 imb:0 pmb:10 smb:1610 d:s ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:24.40 aq:9.00 tex:5 mv:35 misc:176 imb:0 pmb:2 smb:1618 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:21.30 aq:7.63 tex:60921 mv:2454 misc:593 imb:18 pmb:612 smb:990 d:s ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:22.42 aq:16.42 tex:376 mv:170 misc:310 imb:0 pmb:20 smb:1600 d:s ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:22.98 aq:8.00 tex:0 mv:0 misc:160 imb:0 pmb:0 smb:1620 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:21.86 aq:16.15 tex:98 mv:25 misc:205 imb:0 pmb:5 smb:1615 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:19.56 aq:6.90 tex:64596 mv:2215 misc:685 imb:6 pmb:594 smb:1020 d:s ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:20.43 aq:13.80 tex:894 mv:308 misc:398 imb:0 pmb:46 smb:1574 d:s ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:20.86 aq:13.37 tex:37 mv:9 misc:178 imb:0 pmb:2 smb:1618 d:s ref:0 ;
